date,type,name,duration_mins,distance_km,elevation_m,avg_power,np,avg_hr,max_hr,tss,intensity_factor,fitness_ctl,fatigue_atl
2026-04-04,TrailRun,Lunch Trailrun,176.0,23.0,716.0,,,144.0,169.0,162.0,73.55,,
2026-04-01,WeightTraining,Afternoon Krafttraining,67.0,,0.0,,,118.0,164.0,34.0,55.24,,
2026-03-30,Run,Afternoon Laufen,60.0,10.3,0.0,,,148.0,172.0,59.0,77.03,,
2026-03-28,WeightTraining,Morning Krafttraining,65.0,,0.0,,,123.0,154.0,36.0,57.82,,
2026-03-27,WeightTraining,Evening Krafttraining,63.0,,0.0,,,122.0,160.0,35.0,57.57,,
2026-03-24,TrailRun,Afternoon Trailrun,114.0,16.0,466.0,,,145.0,166.0,108.0,73.89,,
2026-03-21,Workout,Morning Training,63.0,,0.0,,,132.0,164.0,44.0,64.76,,
2026-03-19,WeightTraining,Evening Krafttraining,82.0,,0.0,,,110.0,158.0,33.0,49.13,,
2026-03-17,Run,Afternoon Laufen,40.0,6.0,50.0,,,130.0,162.0,31.0,62.9,,
2026-03-14,TrailRun,Afternoon Trailrun,33.0,5.8,36.0,,,145.0,162.0,32.0,73.15,,
2026-03-14,TrailRun,Lunch Trailrun,56.0,7.1,336.0,,,148.0,163.0,54.0,75.34,,
2026-03-14,WeightTraining,Morning Krafttraining,48.0,,0.0,,,113.0,151.0,22.0,52.37,,
2026-03-11,Padel,Night Padel,94.0,,0.0,,,122.0,159.0,48.0,55.35,,
2026-03-10,Workout,Afternoon Training,62.0,,0.0,,,142.0,173.0,54.0,72.49,,
2026-03-08,Ride,Gossau Rennradfahren,159.0,57.7,595.0,,,127.0,166.0,110.0,61.64,,
2026-03-08,Ride,Sankt Gallen Rennradfahren,29.0,9.8,50.0,,,121.0,147.0,16.0,54.83,,
2026-03-07,WeightTraining,Morning Krafttraining,57.0,,0.0,,,117.0,151.0,27.0,53.46,,
2026-03-05,Rowing,Afternoon Rudern,54.0,,,,,128.0,159.0,34.0,61.63,,
2026-03-04,Padel,Evening Padel,95.0,,0.0,,,129.0,159.0,59.0,61.06,,
2026-03-03,WeightTraining,Afternoon Krafttraining,53.0,,0.0,,,125.0,191.0,34.0,61.87,,
